batch_idx,algo,server_id,capacity,mu_j,sigma_j,actual_load,delta,overload
15,nsga,3,3996.6462104925918,3334.4785183580652,531.8562285617157,3921.6048246442856,587.1263062862204,0
15,nsga,4,2890.046601106091,2782.864385930024,519.910626006115,3374.3387885077664,591.4744025777422,1
15,nsga,5,2889.986300840507,2760.7442872878983,545.0043189137973,3320.9316402146037,560.1873529267054,1
15,nsga,6,2645.2090304204985,2527.668199807624,433.3318417133119,2441.7639616400074,-85.90423816761677,0
15,nsga,7,4665.440364437338,4254.237321184615,464.08540556358685,4798.572890214873,544.3355690302578,1
15,nsga,8,4002.7875293580223,3750.194219047935,441.5848674398031,4462.44423616818,712.2500171202455,1
15,nsga,9,4270.181444490114,4012.950254190915,464.8794172660719,4679.53240204159,666.582147850675,1
16,dg,0,3436.350297118406,3195.149457807917,418.758784176529,3673.4503223354864,478.3008645275695,1
16,dg,1,4876.785766024791,4490.3513436646845,484.8546847665382,4756.089900410467,265.73855674578226,0
16,dg,2,4329.984854528513,3986.3444669272135,494.37864281445815,3855.7249050171677,-130.61956191004583,0
16,dg,3,3996.6462104925918,3719.5826017055992,571.1070436918897,4210.083460269991,490.50085856439136,1
16,dg,4,2890.046601106091,2661.3701646326904,417.5057105633168,2980.7076045613626,319.3374399286722,1
16,dg,5,2889.986300840507,2659.9345392666546,456.97072732651316,3205.105357879506,545.1708186128512,1
16,dg,6,2645.2090304204985,2418.177557054915,383.21692503359594,2656.071334252227,237.89377719731237,1
16,dg,7,4665.440364437338,4310.035459700739,570.9103887331813,4971.284038330526,661.2485786297866,1
16,dg,8,4002.7875293580223,3669.3123276932265,462.5064624996566,3839.1658436792563,169.85351598602983,0
16,dg,9,4270.181444490114,3947.432237642026,427.5882365328208,5007.090280849981,1059.6580432079554,1
16,rosa,0,3436.350297118406,3014.8883112992658,481.5227956468144,3268.1732803759774,253.2849690767116,0
16,rosa,1,4876.785766024791,4731.143304886591,492.4834140910429,5009.0658415253265,277.92253663873544,1
16,rosa,2,4329.984854528513,4225.584331245913,418.3987734146819,4242.383136934073,16.798805688160428,0
16,rosa,3,3996.6462104925918,3641.676516140238,482.7146553366855,3697.551131628655,55.87461548841702,0
16,rosa,4,2890.046601106091,2521.7527762714203,416.5939200925627,2727.471386584734,205.71861031331355,0
16,rosa,5,2889.986300840507,2561.227658350128,369.53266903653054,2397.8854763715335,-163.34218197859445,0
16,rosa,6,2645.2090304204985,2304.1288989425393,384.6175044085168,2548.662321007596,244.53342206505658,0
16,rosa,7,4665.440364437338,4203.699936692549,588.2639558452036,5523.846299872814,1320.1463631802644,1
16,rosa,8,4002.7875293580223,3731.165526053303,463.82363613719014,4593.747472396886,862.5819463435832,1
16,rosa,9,4270.181444490114,3807.4280998434515,576.1858297171284,4088.656080567429,281.22798072397745,0
16,vag,0,3436.350297118406,2915.537913494651,682.2965291478137,3610.7087527281215,695.1708392334704,1
16,vag,1,4876.785766024791,4817.7784264728,250.03468494341087,4891.753507806778,73.97508133397787,1
16,vag,2,4329.984854528513,3858.336460671923,691.1177471797383,4862.750515597734,1004.4140549258113,1
16,vag,3,3996.6462104925918,3567.326263152784,613.0281167395145,4274.940463543392,707.614200390608,1
16,vag,4,2890.046601106091,2484.747832955798,506.7829328841205,2870.573470428029,385.82563747223094,0
16,vag,5,2889.986300840507,2613.739912629428,367.3495484230121,2975.754776075557,362.01486344612886,1
16,vag,6,2645.2090304204985,2654.1889605198594,76.25426845442524,2754.5542207549556,100.36526023509623,1
16,vag,7,4665.440364437338,4204.960631745081,631.6228470990425,5314.448902831437,1109.4882710863567,1
16,vag,8,4002.7875293580223,4098.922745543981,106.48754548403224,4002.5737183042575,-96.34902723972391,0
16,vag,9,4270.181444490114,4264.567633911919,210.51860876996227,4270.578365354756,6.010731442836914,1
16,nsga,0,3436.350297118406,3431.5136638259974,468.6846077147775,3890.0449729431425,458.53130911714516,1
16,nsga,1,4876.785766024791,3924.3878253057305,466.69321624022683,4263.438213938359,339.05038863262826,0
16,nsga,2,4329.984854528513,3819.4517654978736,525.1798854242694,4044.6454712283876,225.193705730514,0
16,nsga,3,3996.6462104925918,3817.365251999847,486.6868026004602,4352.217434517308,534.8521825174612,1
16,nsga,4,2890.046601106091,2933.041045865738,398.1484855244526,3565.107819184949,632.0667733192113,1
16,nsga,5,2889.986300840507,2930.616638045212,359.0518280623364,2939.9012383080158,9.284600262803906,1
16,nsga,6,2645.2090304204985,2664.740267523841,414.2724448672997,2324.375075245278,-340.365192278563,0
16,nsga,7,4665.440364437338,3980.6222745242935,547.5358313025206,4852.996545376856,872.3742708525629,1
16,nsga,8,4002.7875293580223,4043.2694803750605,561.0478706720406,5250.22298679917,1206.9535064241095,1
16,nsga,9,4270.181444490114,3847.9964105816,458.15880695699695,4250.511891491546,402.51548090994584,0
17,dg,0,3436.350297118406,3043.9954673901266,430.8857494345796,4058.104925731078,1014.1094583409513,1
17,dg,1,4876.785766024791,4330.821741181813,524.6998043868413,5242.010863056138,911.1891218743249,1
17,dg,2,4329.984854528513,3844.0366389465457,439.8459966208404,4148.592415143868,304.55577619732185,0
17,dg,3,3996.6462104925918,3568.825673421731,483.3686512509825,3748.0381859361205,179.21251251438935,0
17,dg,4,2890.046601106091,2583.0758240834066,417.90269996985694,2811.08591310416,228.01008902075364,0
17,dg,5,2889.986300840507,2582.767007993415,341.2915763347249,2864.7007220763203,281.9337140829052,0
17,dg,6,2645.2090304204985,2427.5655628768764,474.12435371062355,3517.808529112771,1090.2429662358945,1
17,dg,7,4665.440364437338,4218.050333365354,575.3773268691957,5052.560259418719,834.5099260533652,1
17,dg,8,4002.7875293580223,3623.9139213105677,522.2715338626036,4463.158007753429,839.2440864428613,1
17,dg,9,4270.181444490114,3801.922015618039,479.94402234752783,4185.733413926466,383.81139830842676,0
17,rosa,0,3436.350297118406,3069.390319090013,446.20418895298315,3305.822526446624,236.43220735661134,0
17,rosa,1,4876.785766024791,4367.47011256508,634.1568463129464,5585.15680606783,1217.6866935027501,1
17,rosa,2,4329.984854528513,4082.676278701359,490.2767991098459,4945.380167982333,862.7038892809737,1
17,rosa,3,3996.6462104925918,3528.5288363548557,548.8858014053143,4538.5517785043185,1010.0229421494628,1
17,rosa,4,2890.046601106091,2615.9259264520547,379.2719636179047,2853.292756144787,237.36682969273215,0
17,rosa,5,2889.986300840507,2503.768231786985,425.8252494397028,2972.5018814806176,468.73364969363274,1
17,rosa,6,2645.2090304204985,2251.0307485990015,401.32354098091054,2845.3265377880566,594.2957891890551,1
17,rosa,7,4665.440364437338,4364.159119326508,531.3761463983329,4960.955096057871,596.7959767313632,1
17,rosa,8,4002.7875293580223,3794.6088111368513,444.488955360458,4091.7814436852404,297.1726325483892,1
17,rosa,9,4270.181444490114,4272.291367481225,359.31257688196916,4549.926745642415,277.6353781611897,1
17,vag,0,3436.350297118406,3071.5874761254186,367.55888111894757,3432.887462171162,361.2999860457435,0
17,vag,1,4876.785766024791,4345.442681330814,653.3868086018011,5291.656610041804,946.2139287109903,1
17,vag,2,4329.984854528513,4142.922394659016,226.1122662907601,4142.214033787183,-0.7083608718330652,0
17,vag,3,3996.6462104925918,3988.4349948517292,96.79211685129346,3912.2333802957546,-76.20161455597463,0
17,vag,4,2890.046601106091,2199.3978616958816,708.0943112017842,3030.4514047429457,831.0535430470641,1
17,vag,5,2889.986300840507,2628.293215128084,287.2363737202846,2843.545931406516,215.25271627843222,0
17,vag,6,2645.2090304204985,2434.5168597275447,213.7283922482103,2389.3238614030897,-45.19299832445495,0
17,vag,7,4665.440364437338,4258.795490063398,442.5213200036231,4463.953189672527,205.15769960912894,0
17,vag,8,4002.7875293580223,3527.7857230514837,551.3785345675406,3682.3181568508094,154.53243379932564,0
17,vag,9,4270.181444490114,3588.0017825829955,697.3067623063838,3843.5222595212654,255.5204769382699,0
17,nsga,0,3436.350297118406,3272.621185720591,393.23960491179577,3178.8728950426007,-93.7482906779901,0
17,nsga,1,4876.785766024791,4067.4951119527886,535.5493616768092,4647.589361575776,580.0942496229873,0
17,nsga,2,4329.984854528513,4108.414707718368,477.80223636941827,4784.481711418775,676.0670037004074,1
17,nsga,3,3996.6462104925918,3811.067490266855,499.85285699147374,3876.1848384984214,65.11734823156621,0
17,nsga,4,2890.046601106091,2746.845457598014,424.25787828814816,2828.638931910475,81.79347431246106,0
17,nsga,5,2889.986300840507,2755.167543241277,316.0867653398981,2767.8809665660415,12.713423324764335,0
17,nsga,6,2645.2090304204985,2539.7939310722704,464.44606109962217,2332.1414239347077,-207.65250713756268,0
17,nsga,7,4665.440364437338,4106.946171394484,562.9517986250054,4661.7210966284465,554.7749252339627,0
17,nsga,8,4002.7875293580223,3789.389296345839,473.7150542524073,4207.2172448362835,417.82794849044467,1
17,nsga,9,4270.181444490114,4073.5266705397503,530.6946289734386,4621.541454241346,548.0147837015961,1
18,dg,0,3436.350297118406,3077.915522329807,564.1765543456123,3708.1038424873655,630.1883201575583,1
18,dg,1,4876.785766024791,4430.24540895702,416.0900497801356,5008.98989372985,578.7444847728302,1
18,dg,2,4329.984854528513,3898.4662120531693,495.4067110644469,4159.43368675235,260.96747469918046,0
18,dg,3,3996.6462104925918,3602.851955794658,499.2778274777304,4360.393452322097,757.541496527439,1
